name,addr:housenumber,addr:street,addr:unit:label,addr:unit,addr:city,addr:state,addr:postcode,latitude,longitude,fixme,note
,1716,Forest Road 106,,,Blue Grass,VA,24413,38.528287121000062,-79.66807523,yes,
,48,Forest Road 457,,,Blue Grass,VA,24413,38.514703477000069,-79.61596185,yes,
,929,Forest Road 457,,,Blue Grass,VA,24413,38.523420649000059,-79.61623048,yes,
,930,Forest Road 457,,,Blue Grass,VA,24413,38.532169774000060,-79.61107898,yes,
,932,Forest Road 457,,,Blue Grass,VA,24413,38.533946881000070,-79.61223506,yes,
,1858,Fossil Run Road,,,Blue Grass,VA,24413,38.529883816000051,-79.55628366,yes,
,95,Ginseng Mountain Lane,,,Blue Grass,VA,24413,38.481174422000038,-79.51140491,yes,
,241,Ginseng Mountain Lane,,,Blue Grass,VA,24413,38.481996559000038,-79.51364844,yes,
,445,Ginseng Mountain Lane,,,Blue Grass,VA,24413,38.482615459000037,-79.51619716,yes,
,204,Hardscrabble Road,,,Blue Grass,VA,24413,38.513656825000048,-79.55112112,yes,
,259,Hardscrabble Road,,,Blue Grass,VA,24413,38.513367971000029,-79.55227138,yes,
,276,Hardscrabble Road,,,Blue Grass,VA,24413,38.514496356000052,-79.5529386,yes,
,422,Hardscrabble Road,,,Blue Grass,VA,24413,38.514805586000080,-79.5554314,yes,
,748,Hardscrabble Road,,,Blue Grass,VA,24413,38.515156050000030,-79.55835601,yes,
,765,Hardscrabble Road,,,Blue Grass,VA,24413,38.512180535000020,-79.56254525,yes,
,770,Hardscrabble Road,,,Blue Grass,VA,24413,38.517751255000057,-79.56004945,yes,
,983,Hardscrabble Road,,,Blue Grass,VA,24413,38.514299575000052,-79.56449967,yes,
,999,Hardscrabble Road,,,Blue Grass,VA,24413,38.512172933000038,-79.56387567,yes,
,1051,Hardscrabble Road,,,Blue Grass,VA,24413,38.514266504000027,-79.56590966,yes,
,1114,Hardscrabble Road,,,Blue Grass,VA,24413,38.516921786000069,-79.56638111,yes,
,1467,Hardscrabble Road,,,Blue Grass,VA,24413,38.519543516000049,-79.56913359,yes,
,1973,Hardscrabble Road,,,Blue Grass,VA,24413,38.526732620000068,-79.56993309,yes,
,2541,Hardscrabble Road,,,Blue Grass,VA,24413,38.534040257000072,-79.56793975,yes,
,3465,Hardscrabble Road,,,Blue Grass,VA,24413,38.547503273000068,-79.56275512,yes,
,571,Hedrick Lane,,,Blue Grass,VA,24413,38.501436917000028,-79.58417334,yes,
,576,Hedrick Lane,,,Blue Grass,VA,24413,38.501602530000071,-79.58456787,yes,
,21,Hevener Lane,,,Blue Grass,VA,24413,38.508087873000079,-79.57794719,yes,
,74,Hevener Lane,,,Blue Grass,VA,24413,38.508622950000067,-79.57693259,yes,
,586,Hevener Lane,,,Blue Grass,VA,24413,38.515475614000017,-79.57403129,yes,
,611,Hevener Lane,,,Blue Grass,VA,24413,38.516243886000041,-79.57495194,yes,
,931,Hevener Lane,,,Blue Grass,VA,24413,38.521486955000050,-79.57477411,yes,
,671,Hi Country Farm Lane,,,Blue Grass,VA,24413,38.480727912000070,-79.56455315,yes,
,328,High Knob Road,,,Blue Grass,VA,24413,38.525660233000053,-79.54289974,yes,
,717,High Knob Road,,,Blue Grass,VA,24413,38.529777368000047,-79.54722935,yes,
